Group,Task Number,Latency (Edge),Data Transmission Latency (Edge),Throughput (Edge)
18,Task 11,0.0066494131088256836,1.953125,165682.69412373207
18,Task 12,0.004812569618225098,1.953125,274809.2442054798
18,Task 13,0.005514416694641113,0.9765625,137183.2877223376
18,Task 14,0.004523057937622071,0.9765625,200310.9155029423
18,Task 15,0.004468016624450684,0.48828125,96249.0959014918
18,Task 16,0.0033257150650024413,0.48828125,132985.08920812985
18,Task 17,0.0038282203674316405,0.29296875,69635.65164982356
18,Task 18,0.0033803510665893553,0.29296875,84898.31554133976
18,Task 19,0.003917412757873535,0.1953125,57296.1162675785
18,Task 20,0.0037534427642822265,0.1953125,76975.92698002589
18,Task 21,0.0013862943649291992,0.000762939453,261.21798225291343
18,Task 22,0.0016113042831420899,0.0457763672,17749.63570885485
18,Task 23,0.001517353057861328,0.0915527344,30632.46265250304
18,Task 24,0.0017000532150268555,0.183105469,63941.297382723074
18,Task 25,0.00023261070251464843,0.000762939453,721.3475184623376
19,Task 1,0.0018085241317749023,6.7024231,4857551.9926174935
